weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmped0to4,numconfc19newadmped5to17,numconfc19newadmadult18to49,numconfc19newadmunk,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2021-11-27,MA,708.0,695.0,13.0,2.0,,,161.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-07-30,MA,740.0,722.0,18.0,3.0,7.0,11.0,129.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,OK,549.0,526.0,23.0,,,,111.0,8.0,,,,,,,,,,,,,,,,,,,,,,
2022-07-23,OK,552.0,528.0,24.0,5.0,12.0,8.0,108.0,13.0,,,,,,,,,,,,,,,,,,,,,,
2021-03-13,PR,710.0,705.0,5.0,36.0,,,201.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-10-21,PR,79.0,71.0,8.0,111.0,7.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,CO,459.0,443.0,16.0,0.0,,,178.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-16,CO,425.0,405.0,20.0,234.0,16.0,4.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2021-08-28,GA,9805.0,9516.0,289.0,12.0,,,2543.0,1394.0,,,,,,,,,,,,,,,,,,,,,,
2023-04-29,GA,295.0,280.0,15.0,43.0,9.0,6.0,64.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,HI,98.0,67.0,31.0,1.0,10.0,21.0,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,KS,1174.0,1163.0,11.0,7.0,,,178.0,37.0,,,,,,,,,,,,,,,,,,,,,,
2024-11-16,MA,296.0,290.0,6.0,16.0,4.0,2.0,30.0,0.0,15.0,1.0,56.0,33.0,23.0,26.0,72.0,162.0,1.0,0.0,3.0,2.0,5.0,5.0,0.0,20.0,3.0,12.0,13.0,1.0,7.0,0.0
2021-07-03,MP,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-31,MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-29,PR,38.0,33.0,5.0,6.0,,,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2020-11-28,AK,154.0,150.0,4.0,0.0,,,47.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,AR,981.0,968.0,13.0,6.0,,,113.0,18.0,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,AR,171.0,171.0,0.0,7.0,,,69.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,AR,254.0,248.0,6.0,9.0,,,58.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2024-11-30,AR,58.0,57.0,1.0,11.0,0.0,1.0,2.0,0.0,11.0,0.0,24.0,9.0,15.0,19.0,7.0,29.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,14.0,1.0,1.0,2.0,4.0,2.0,0.0
2020-11-07,CO,1096.0,1080.0,16.0,3.0,,,298.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-08,FL,6733.0,6532.0,201.0,,,,330.0,4944.0,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,FL,3291.0,3212.0,79.0,56.0,,,937.0,69.0,,,,,,,,,,,,,,,,,,,,,,
2022-10-22,FL,1201.0,1145.0,56.0,124.0,17.0,32.0,144.0,60.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,GA,9157.0,8993.0,164.0,22.0,,,1377.0,429.0,,,,,,,,,,,,,,,,,,,,,,
2022-01-08,HI,323.0,317.0,6.0,0.0,,,69.0,76.0,,,,,,,,,,,,,,,,,,,,,,
